,College_code,College_name,Rank
0,E255,Gitam School Of Technology BANGALORE RURAL DIST,143844
1,E240,"Dayananda Sagar University Hosur Road, Bangalore",27596
2,E237,"Presidency University Yelahanka, Bangalore",63936
3,E160,Sahyadri College of Engg. and Management Mangalore,48473
4,E139,Impact College of Engineering and Applied Sciences Bangalore,150653
5,E104,Nagarjuna College of Engineering and Technology Bangalore (R,79855
6,E011,M V J College of Engineering Bangalore,31842
